V1,V2,V3,V4,y
2.18,0.57,2180,0.0057,0
4.13,5.12,4130,0.0512,1
9.87,1.95,9870,0.0195,2
4.02,-0.8,4020,-0.008,3
1.18,1.03,1180,0.0103,0
4.59,5.74,4590,0.0574,1
8.25,1.3,8250,0.013,2
3.91,-0.68,3910,-0.0068,3
0.55,1.26,550,0.0126,0
5.64,6.67,5640,0.0667,1
9.22,1.46,9220,0.0146,2
4.36,-1.27,4360,-0.0127,3
2.19,2.66,2190,0.0266,0
4.36,4.86,4360,0.0486,1
7.4,4.44,7400,0.0444,2
3.89,0.14,3890,0.0014,3
1.67,0.81,1670,0.0081,0
4.97,5.67,4970,0.0567,1
8.52,2.13,8520,0.0213,2
5.24,-0.76,5240,-0.0076,3
1.06,2.07,1060,0.0207,0
5.69,6.08,5690,0.0608,1
9.52,2.98,9520,0.0298,2
4.73,-1.71,4730,-0.0171,3
1.64,0.96,1640,0.0096,0
5.55,5.68,5550,0.0568,1
8.1,4.26,8100,0.0426,2
3.82,-1.23,3820,-0.0123,3
1.09,1.4,1090,0.014,0
4.83,6.16,4830,0.0616,1
7.81,1.86,7810,0.0186,2
4.91,-2.79,4910,-0.0279,3
1.74,0.77,1740,0.0077,0
5.31,6.61,5310,0.0661,1
7.24,1.18,7240,0.0118,2
4.14,-1.36,4140,-0.0136,3
1.12,2.73,1120,0.0273,0
5.76,4.67,5760,0.0467,1
9.04,1.63,9040,0.0163,2
3.89,-2.01,3890,-0.0201,3
0.31,1.5,310,0.015,0
4.14,5.02,4140,0.0502,1
8.53,2.3,8530,0.023,2
4.5,-0.74,4500,-0.0074,3
1.69,1.72,1690,0.0172,0
4.99,5.01,4990,0.0501,1
7.93,3.39,7930,0.0339,2
3.84,-1.55,3840,-0.0155,3
2.37,0.15,2370,0.0015,0
5.32,5.93,5320,0.0593,1
7.81,2.63,7810,0.0263,2
2.64,-0.69,2640,-0.0069,3
0.59,0.67,590,0.0067,0
5.54,5.44,5540,0.0544,1
9.62,4.59,9620,0.0459,2
3.6,-1.84,3600,-0.0184,3
1.64,0.48,1640,0.0048,0
5.47,6.16,5470,0.0616,1
9.53,2.4,9530,0.024,2
4.74,-1.74,4740,-0.0174,3
1.96,1.99,1960,0.0199,0
5.92,6.03,5920,0.0603,1
7.88,1.71,7880,0.0171,2
5.39,-2.82,5390,-0.0282,3
0.82,1.96,820,0.0196,0
4.5,5.73,4500,0.0573,1
7.29,1.79,7290,0.0179,2
3.31,-1.45,3310,-0.0145,3
0.94,2.09,940,0.0209,0
5.2,6.15,5200,0.0615,1
7.98,1.61,7980,0.0161,2
4.47,-2.51,4470,-0.0251,3
1.31,1.01,1310,0.0101,0
5.93,7.36,5930,0.0736,1
8.66,2.31,8660,0.0231,2
4.92,-1.34,4920,-0.0134,3
-0.39,2.06,-390,0.0206,0
5.18,6.24,5180,0.0624,1
5.35,1.36,5350,0.0136,2
5.25,-0.93,5250,-0.0093,3
1.65,2.26,1650,0.0226,0
5.74,6.22,5740,0.0622,1
8.04,1.6,8040,0.016,2
4.43,-2.43,4430,-0.0243,3
1.99,1.73,1990,0.0173,0
4.53,6.67,4530,0.0667,1
8.57,1.52,8570,0.0152,2
4.16,-0.22,4160,-0.0022,3
1.5,1.31,1500,0.0131,0
6.13,6.32,6130,0.0632,1
10.62,1.67,10620,0.0167,2
4.92,-1.05,4920,-0.0105,3
0.05,0.38,50,0.0038,0
3.84,5.8,3840,0.058,1
8.35,2.31,8350,0.0231,2
3.14,-1.23,3140,-0.0123,3
1.81,1.33,1810,0.0133,0
2.56,5.91,2560,0.0591,1
9.02,2.76,9020,0.0276,2
4.6,-2.16,4600,-0.0216,3
0.33,1.43,330,0.0143,0
4.46,4.99,4460,0.0499,1
8.45,2.15,8450,0.0215,2
4.95,-2.04,4950,-0.0204,3
0.87,1.53,870,0.0153,0
4.81,6.54,4810,0.0654,1
9.79,2.24,9790,0.0224,2
3.27,-1.06,3270,-0.0106,3
1.35,2.1,1350,0.021,0
4.64,7.8,4640,0.078,1
9.5,2.49,9500,0.0249,2
4.5,0.31,4500,0.0031,3
1.3,2.01,1300,0.0201,0
4.02,5.97,4020,0.0597,1
8.36,1.99,8360,0.0199,2
4.97,-2.08,4970,-0.0208,3
0.62,1.85,620,0.0185,0
5.38,5.19,5380,0.0519,1
9.05,3.26,9050,0.0326,2
4.72,-0.14,4720,-0.0014,3
2.91,2.18,2910,0.0218,0
5.15,5.81,5150,0.0581,1
8.98,2.76,8980,0.0276,2
5.2,-1.74,5200,-0.0174,3
0.29,2.09,290,0.0209,0
5.73,6.34,5730,0.0634,1
9.78,2.65,9780,0.0265,2
4.6,-1.53,4600,-0.0153,3
0.42,1.95,420,0.0195,0
3.74,6.49,3740,0.0649,1
9.31,1.57,9310,0.0157,2
5.28,-0.33,5280,-0.0033,3
2.2,1.72,2200,0.0172,0
4.55,5.14,4550,0.0514,1
7.77,2.17,7770,0.0217,2
4.43,-2.28,4430,-0.0228,3
-0.04,0.47,-40,0.0047,0
4.1,6.79,4100,0.0679,1
8.61,1.64,8610,0.0164,2
4.22,-0.59,4220,-0.0059,3
1.84,0.95,1840,0.0095,0
3.55,7.28,3550,0.0728,1
8.94,3.6,8940,0.036,2
4.21,-2.44,4210,-0.0244,3
1.24,3.41,1240,0.0341,0
5.16,7.36,5160,0.0736,1
8.93,1.25,8930,0.0125,2
4.09,-1.41,4090,-0.0141,3
1.57,0.92,1570,0.0092,0
4.69,4.76,4690,0.0476,1
8.85,2.18,8850,0.0218,2
4.43,-0.82,4430,-0.0082,3
0.59,2.13,590,0.0213,0
5.84,5.02,5840,0.0502,1
8.9,3.61,8900,0.0361,2
4.04,0.71,4040,0.0071,3
0.01,1.43,10,0.0143,0
5.22,6.49,5220,0.0649,1
8.37,2.41,8370,0.0241,2
4.95,-1.45,4950,-0.0145,3
1.18,0.53,1180,0.0053,0
5.63,5.08,5630,0.0508,1
8.57,1.16,8570,0.0116,2
4.24,-1.03,4240,-0.0103,3
0.94,1.44,940,0.0144,0
5.92,5.07,5920,0.0507,1
8.85,4.45,8850,0.0445,2
2.64,-1.79,2640,-0.0179,3
1.44,1.72,1440,0.0172,0
4.45,6.67,4450,0.0667,1
8.16,1.76,8160,0.0176,2
4.5,-2.56,4500,-0.0256,3
1.9,2.23,1900,0.0223,0
4.92,6.01,4920,0.0601,1
8.67,2.18,8670,0.0218,2
4.51,-1.46,4510,-0.0146,3
0.14,0.06,140,0.0006,0
5.55,4.9,5550,0.049,1
9.27,3.24,9270,0.0324,2
4.85,-1.07,4850,-0.0107,3
1.52,2.25,1520,0.0225,0
6.17,5.23,6170,0.0523,1
7.55,1.92,7550,0.0192,2
4.72,-1.61,4720,-0.0161,3
2.46,2.01,2460,0.0201,0
5.24,5.5,5240,0.055,1
8.97,2.55,8970,0.0255,2
5.67,-1.36,5670,-0.0136,3
2.08,3,2080,0.03,0
5.6,5.93,5600,0.0593,1
7.48,3.28,7480,0.0328,2
3.58,-0.23,3580,-0.0023,3
1.99,1.21,1990,0.0121,0
4.89,7.32,4890,0.0732,1
8.48,2.36,8480,0.0236,2
3.36,-0.88,3360,-0.0088,3
1.49,1.44,1490,0.0144,0
4.97,6.23,4970,0.0623,1
8.64,2.56,8640,0.0256,2
4.79,-0.6,4790,-0.006,3
1.14,1.85,1140,0.0185,0
4.25,5.36,4250,0.0536,1
8.01,0.68,8010,0.0068,2
3.89,-1.53,3890,-0.0153,3
1.31,1.78,1310,0.0178,0
3.51,6.48,3510,0.0648,1
7.57,1.73,7570,0.0173,2
4.38,-2.39,4380,-0.0239,3
1.36,1.52,1360,0.0152,0
6.32,4.84,6320,0.0484,1
7.75,2.63,7750,0.0263,2
4.05,-0.61,4050,-0.0061,3
0.85,0.72,850,0.0072,0
3.81,5.92,3810,0.0592,1
8.46,2.43,8460,0.0243,2
5.56,-2.22,5560,-0.0222,3
1.19,3.08,1190,0.0308,0
4.46,6.19,4460,0.0619,1
7.06,3.23,7060,0.0323,2
4.74,-1.1,4740,-0.011,3
2.02,1.86,2020,0.0186,0
3.66,7.55,3660,0.0755,1
9.31,2.03,9310,0.0203,2
5.12,0.46,5120,0.0046,3
0.16,0.9,160,0.009,0
5.55,6.47,5550,0.0647,1
7.8,2.97,7800,0.0297,2
3.26,-1,3260,-0.01,3
0.66,0.52,660,0.0052,0
4.54,5.44,4540,0.0544,1
7.58,3.1,7580,0.031,2
3.46,-2.51,3460,-0.0251,3
1.58,1.81,1580,0.0181,0
5.17,7.57,5170,0.0757,1
8.27,1.36,8270,0.0136,2
4.55,-1.21,4550,-0.0121,3
0.35,1.46,350,0.0146,0
4.58,4.76,4580,0.0476,1
9.61,2.32,9610,0.0232,2
5.8,-1.06,5800,-0.0106,3
1.29,1.56,1290,0.0156,0
3.8,5.42,3800,0.0542,1
8.78,1.29,8780,0.0129,2
4.6,-0.14,4600,-0.0014,3
1.82,0.44,1820,0.0044,0
3.9,6.53,3900,0.0653,1
7.96,3.13,7960,0.0313,2
4.2,-0.62,4200,-0.0062,3
0.98,1.41,980,0.0141,0
6.29,5.48,6290,0.0548,1
9.31,2.93,9310,0.0293,2
4.1,-0.94,4100,-0.0094,3
0.84,0.06,840,0.0006,0
4.41,5.33,4410,0.0533,1
8.79,3.51,8790,0.0351,2
4.58,-0.38,4580,-0.0038,3
0.92,1.98,920,0.0198,0
5.64,6.38,5640,0.0638,1
9.24,3.5,9240,0.035,2
5,-1.76,5000,-0.0176,3
1.19,1.24,1190,0.0124,0
5.72,5.54,5720,0.0554,1
8.73,2.47,8730,0.0247,2
4.52,-1.57,4520,-0.0157,3
1.04,2.23,1040,0.0223,0
4.4,6.56,4400,0.0656,1
7.16,2.26,7160,0.0226,2
4.36,-0.34,4360,-0.0034,3
0.95,2.12,950,0.0212,0
6.2,6.39,6200,0.0639,1
8.12,2.28,8120,0.0228,2
5.89,-0.95,5890,-0.0095,3
1.3,0.3,1300,0.003,0
4.79,6.8,4790,0.068,1
9.22,1.75,9220,0.0175,2
4.46,-0.25,4460,-0.0025,3
1.49,1.32,1490,0.0132,0
4.07,5.99,4070,0.0599,1
9.79,0.8,9790,0.008,2
4.72,-2.27,4720,-0.0227,3
1.29,0.8,1290,0.008,0
3.89,5.92,3890,0.0592,1
8.11,2.7,8110,0.027,2
5.05,-1.11,5050,-0.0111,3
0.28,0.4,280,0.004,0
4.49,5.25,4490,0.0525,1
9.36,2.33,9360,0.0233,2
4.62,-1.49,4620,-0.0149,3
1.85,0.23,1850,0.0023,0
4.34,5.57,4340,0.0557,1
8.03,1.73,8030,0.0173,2
4.41,-1.01,4410,-0.0101,3
1.41,0.43,1410,0.0043,0
5.12,5.84,5120,0.0584,1
8.12,2.13,8120,0.0213,2
3.76,-0.81,3760,-0.0081,3
0.32,1.33,320,0.0133,0
4.93,6.04,4930,0.0604,1
7.79,2.02,7790,0.0202,2
3.88,-1.26,3880,-0.0126,3
0.72,2.35,720,0.0235,0
4.87,6.85,4870,0.0685,1
8.64,2.82,8640,0.0282,2
3.67,-0.63,3670,-0.0063,3
0.63,1.5,630,0.015,0
5.1,5.33,5100,0.0533,1
8.01,3.83,8010,0.0383,2
4.29,-1,4290,-0.01,3
3.13,1.55,3130,0.0155,0
6.16,5.89,6160,0.0589,1
7.6,2.88,7600,0.0288,2
3.98,-0.87,3980,-0.0087,3
1.35,-1.04,1350,-0.0104,0
4.84,6.44,4840,0.0644,1
8.31,2.57,8310,0.0257,2
4.6,-2.11,4600,-0.0211,3
1.55,2.11,1550,0.0211,0
5.86,6.72,5860,0.0672,1
7.7,2.5,7700,0.025,2
4.19,-0.33,4190,-0.0033,3
0.56,2.04,560,0.0204,0
3.09,6.27,3090,0.0627,1
8.32,3.71,8320,0.0371,2
5.6,-1.68,5600,-0.0168,3
2.21,1.84,2210,0.0184,0
3.85,7.08,3850,0.0708,1
7.19,3.13,7190,0.0313,2
4.82,-1.77,4820,-0.0177,3
1.74,2.53,1740,0.0253,0
4.88,5.45,4880,0.0545,1
8.03,1.3,8030,0.013,2
3.95,-2.81,3950,-0.0281,3
1.53,2.37,1530,0.0237,0
5.52,4.55,5520,0.0455,1
7.97,1.66,7970,0.0166,2
4.53,-0.93,4530,-0.0093,3
2.19,0.91,2190,0.0091,0
5.17,5.63,5170,0.0563,1
8.08,2.72,8080,0.0272,2
5.32,-0.75,5320,-0.0075,3
1.41,2.47,1410,0.0247,0
6.33,5.31,6330,0.0531,1
9.16,2.25,9160,0.0225,2
4.97,-0.34,4970,-0.0034,3
2.34,1.26,2340,0.0126,0
6.1,5.49,6100,0.0549,1
8.62,1.05,8620,0.0105,2
5.35,-0.09,5350,-0.0009,3
1.77,2.37,1770,0.0237,0
5.88,6.19,5880,0.0619,1
9.51,1.51,9510,0.0151,2
4.68,-0.99,4680,-0.0099,3
1.3,1.85,1300,0.0185,0
3.96,4.95,3960,0.0495,1
9.42,2.13,9420,0.0213,2
4.24,-1.84,4240,-0.0184,3
-0.25,1.85,-250,0.0185,0
5.04,6.24,5040,0.0624,1
7.36,2.37,7360,0.0237,2
4.36,-2.54,4360,-0.0254,3
0.95,2.12,950,0.0212,0
4.61,7.16,4610,0.0716,1
7.89,2.58,7890,0.0258,2
